Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
149,XAUUSD,Buy,21.02.2020 23:00:00,1643.83,2.1,24.02.2020 01:01:00,1658.09,2d 2h 1m,2865.13,11459.91,-129.47,2865.13,11459.91,142600,769700,2.64,12.33,,IS
152,XAUUSD,Buy,24.02.2020 23:19:03,1660.03,2.22,25.02.2020 02:13:47,1643.18,2h 54m,-3877.58,7582.33,-136.88,-3877.58,7582.33,-168500,601200,-3.48,8.85,sl 1643.43,IS
154,XAUUSD,Buy,25.02.2020 23:00:00,1629.79,2.15,25.02.2020 23:00:16,1631.32,16s,311.42,7893.75,-17.53,311.42,7893.75,15300,616500,0.29,9.14,,IS
156,XAUUSD,Buy,25.02.2020 23:01:01,1632.6,2.15,25.02.2020 23:02:45,1634.15,1m 44s,315.69,8209.44,-17.56,315.69,8209.44,15500,632000,0.29,9.44,,IS
158,XAUUSD,Buy,25.02.2020 23:03:00,1633.52,2.16,25.02.2020 23:03:32,1635.02,32s,306.35,8515.79,-17.65,306.35,8515.79,15000,647000,0.28,9.72,,IS
160,XAUUSD,Buy,25.02.2020 23:04:00,1636.14,2.17,26.02.2020 01:01:37,1638.22,1h 57m,317.71,8833.5,-133.65,317.71,8833.5,20800,667800,0.29,10.01,,IS
162,XAUUSD,Buy,26.02.2020 23:00:00,1636.76,2.17,26.02.2020 23:00:07,1637.72,7s,190.56,9024.06,-17.76,190.56,9024.06,9600,677400,0.18,10.19,,IS
163,XAUUSD,Buy,26.02.2020 23:00:00,1636.75,2.17,26.02.2020 23:00:07,1637.79,7s,207.91,9231.97,-17.77,207.91,9231.97,10400,687800,0.19,10.38,,IS
166,XAUUSD,Buy,26.02.2020 23:01:00,1639.13,2.18,26.02.2020 23:11:04,1640.22,10m 4s,219.75,9451.72,-17.87,219.75,9451.72,10900,698700,0.2,10.58,,IS
167,XAUUSD,Buy,26.02.2020 23:01:00,1639.17,2.18,26.02.2020 23:11:04,1640.22,10m 4s,211.03,9662.75,-17.87,211.03,9662.75,10500,709200,0.19,10.77,,IS
170,XAUUSD,Buy,26.02.2020 23:12:01,1640.93,2.19,27.02.2020 01:41:46,1643.57,2h 29m,198.39,9861.14,-368.82,198.39,9861.14,26400,735600,0.18,10.95,,IS
171,XAUUSD,Buy,26.02.2020 23:12:01,1640.98,2.19,27.02.2020 01:41:58,1644.07,2h 29m,318.84,10179.98,-368.82,318.84,10179.98,30900,766500,0.29,11.24,,IS
174,XAUUSD,Buy,27.02.2020 23:00:00,1637.22,2.2,27.02.2020 23:03:56,1638.82,3m 56s,333.99,10513.97,-18.01,333.99,10513.97,16000,782500,0.3,11.55,,IS
176,XAUUSD,Buy,27.02.2020 23:07:01,1639.1,2.21,27.02.2020 23:43:01,1640.75,36m 0s,346.52,10860.49,-18.13,346.52,10860.49,16500,799000,0.31,11.86,,IS
178,XAUUSD,Sell,28.02.2020 16:37:00,1616.86,1.95,28.02.2020 17:01:30,1611.72,24m 30s,986.56,11847.05,-15.74,986.56,11847.05,51400,850400,0.89,12.75,tp 1611.92,IS
181,XAUUSD,Sell,28.02.2020 17:02:00,1611.98,1.98,28.02.2020 17:06:15,1607.18,4m 15s,934.46,12781.51,-15.94,934.46,12781.51,48000,898400,0.84,13.58,tp 1607.23,IS
