Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
3081958935,XAUUSD,Buy,28.04.2025 23:03:00,3350.04,1.32,28.04.2025 23:04:49,3351.51,1m 49s,171.92,33032.61,-22.12,171.92,33032.61,14700,1384100,0.13,28.6,,IS
3081958936,XAUUSD,Buy,28.04.2025 23:03:00,3350.04,1.32,28.04.2025 23:04:21,3351.04,1m 21s,109.88,33142.49,-22.12,109.88,33142.49,10000,1394100,0.08,28.68,,IS
3081959405,XAUUSD,Buy,28.04.2025 23:15:00,3350.36,1.33,01.05.2025 07:03:00,3225.68,2d 7h 48m,-17042.54,16099.95,-460.1,-17042.54,16099.95,-1246800,147300,-12.8,15.88,,IS
3081959406,XAUUSD,Buy,28.04.2025 23:15:00,3350.36,1.33,29.04.2025 04:00:09,3327.38,4h 45m,-3149.56,12950.39,-93.22,-3149.56,12950.39,-229800,-82500,-2.71,13.17,,IS
3082536452,XAUUSD,Buy,01.05.2025 23:28:00,3231.51,0.37,01.05.2025 23:31:30,3233.03,3m 30s,50.26,13000.65,-5.98,50.26,13000.65,15200,-67300,0.04,13.22,,IS
3082536453,XAUUSD,Buy,01.05.2025 23:28:00,3231.51,0.37,01.05.2025 23:31:22,3232.7,3m 22s,38.05,13038.7,-5.98,38.05,13038.7,11900,-55400,0.03,13.25,,IS
3083621928,XAUUSD,Buy,07.05.2025 23:00:00,3372.34,0.93,07.05.2025 23:04:32,3373.88,4m 32s,127.54,13166.24,-15.68,127.54,13166.24,15400,-40000,0.11,13.36,,IS
3083623438,XAUUSD,Buy,07.05.2025 23:05:01,3372.72,0.93,07.05.2025 23:07:55,3374.3,2m 54s,131.25,13297.49,-15.69,131.25,13297.49,15800,-24200,0.12,13.48,,IS
3083623832,XAUUSD,Buy,07.05.2025 23:09:05,3373.01,0.93,08.05.2025 02:43:15,3376.32,3h 34m,144.55,13442.04,-163.28,144.55,13442.04,33100,8900,0.13,13.61,,IS
3083867294,XAUUSD,Buy,08.05.2025 23:42:00,3307.2,2.83,09.05.2025 01:01:33,3307.32,1h 19m,-163.11,13278.93,-197.07,-163.11,13278.93,1200,10100,-0.14,13.46,,IS
